total_nodes,success,task,scheduling_duration_msec,failure_reason,target_node_type,target_node,score,avg_pred_latency_slo,avg_pred_latency,avg_data_latency_slo,avg_data_latency,deg_C_over_recommended,deg_C_over_max
1118,True,extract-frames,1,,SatelliteNode,0,100,100.0,84.63034163244984,,,-18.1,-28.1
1118,True,object-det,1,,SatelliteNode,1,100,150.0,17.506919793543123,175.0,63.94894643763827,14.0,4.0
1118,True,prepare-ds,1,,SatelliteNode,2,100,100.0,17.560429175688874,,,-38.15,-48.15
1118,True,extract-frames,1,,SatelliteNode,3,100,100.0,290.8030345161265,,,2.9000000000000057,-7.099999999999994
1118,True,object-det,1,,SatelliteNode,4,100,150.0,17.46697583712863,175.0,133.40651382972095,-1.0,-11.0
1118,True,prepare-ds,1,,SatelliteNode,5,100,100.0,17.44840099537044,,,-38.15,-48.15
1118,True,extract-frames,1,,SatelliteNode,6,100,100.0,227.81889434347053,,,2.9000000000000057,-7.099999999999994
1118,True,object-det,1,,SatelliteNode,7,100,150.0,17.543270571108128,175.0,206.2709832020563,-46.0,-56.0
1118,True,prepare-ds,1,,SatelliteNode,8,100,100.0,17.51547586886656,,,4.849999999999994,-5.150000000000006
1118,True,extract-frames,1,,SatelliteNode,9,100,100.0,263.0466726761746,,,2.9000000000000057,-7.099999999999994
1118,True,object-det,1,,SatelliteNode,10,100,150.0,17.447178316018395,175.0,277.25461952091825,-46.0,-56.0
1118,True,prepare-ds,1,,SatelliteNode,11,100,100.0,17.512589283844612,,,-38.15,-48.15
1118,True,extract-frames,1,,SatelliteNode,12,100,100.0,294.208026751658,,,-6.100000000000001,-16.1
1118,True,object-det,1,,SatelliteNode,13,100,150.0,17.53820459008177,175.0,109.46460793249159,-46.0,-56.0
1118,True,prepare-ds,1,,SatelliteNode,14,100,100.0,23.917589003932175,,,-38.15,-48.15
